k,n,true_jaccard,fast_avg_error,kmins_avg_error,datasketch_avg_error,cmins_avg_error,fast_avg_time,kmins_avg_time,datasketch_avg_time,cmins_avg_time,fast_speedup_vs_kmins,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,kmins_speedup_vs_cmins,datasketch_speedup_vs_cmins
16,100,0.4925373134328358,0.0811940298507463,0.09964552238805972,0.11470149253731343,0.10809701492537314,8.060800842940808e-05,0.0009235400054603815,0.001773028012830764,0.0009374799975194037,0.08728155570177522,0.045463471443246806,0.08598371020469657,0.9851303578786664,1.8912702324553505
16,1250,0.4997000599880024,0.09127399520095981,0.10125000000000003,0.085,0.07883398320335934,0.0008378419978544116,0.011075618008617312,0.017438059996347875,0.011259147999808192,0.07564742637408893,0.04804674361883629,0.0744143338260306,0.9836994778651097,1.5487903699858059
16,2500,0.4997000599880024,0.09389397120575886,0.0912859928014397,0.08759598080383924,0.09260797840431913,0.0015684540010988712,0.021061473998706788,0.03264105799375102,0.021239538004156202,0.07447028641942045,0.048051567488993294,0.07384595657362945,0.9916163898944238,1.5368064026328512
16,5000,0.4999250037498125,0.0862709989500525,0.09499100044997749,0.0987589995500225,0.08875899955002248,0.0031093619973398745,0.042660684005822985,0.06489390399307013,0.042964483990799635,0.07288589177134293,0.04791454676038471,0.07237051882214411,0.992929043787848,1.5104080851283221
16,10000,0.4999250037498125,0.09500899955002248,0.08376499925003747,0.08877699865006751,0.10125299985000753,0.00637609998928383,0.08579249400412664,0.1338367119873874,0.0910711419931613,0.07432002138761858,0.047640889368865444,0.07001229862432848,0.9420381926315249,1.4695842070085983
16,20000,0.49998125023437207,0.09875524993437584,0.09625224997187536,0.10000449994375069,0.1025029999625005,0.013279905989766121,0.17914848999120295,0.2675461340066977,0.1772809200012125,0.07412792589219272,0.04963594797984887,0.0749088282578593,1.010534523342826,1.5091648554444992
32,100,0.4925373134328358,0.06396455223880598,0.0824440298507463,0.08886194029850741,0.07,0.00013197599444538354,0.001705309993121773,0.0018982100021094084,0.0008811740018427372,0.07739120451864928,0.06952655096049629,0.14977290996941742,1.9352704341657587,2.1541829401909447
32,1250,0.4997000599880024,0.06188699760047991,0.08313699760047989,0.05627399520095981,0.0650239952009598,0.0008330640057101846,0.021967130007687956,0.01814311000518501,0.011088989989366383,0.03792320641880085,0.045916273751970216,0.07512532760053338,1.9809856469122074,1.6361372877586748
32,2500,0.4997000599880024,0.07194698560287943,0.078125,0.06505998800239952,0.07252399520095981,0.001590220001526177,0.04384773999452591,0.03390330798225477,0.022715122003573923,0.03626686350823794,0.04690456761206043,0.07000710809635877,1.9303325770219086,1.4925435125076825
32,5000,0.4999250037498125,0.052502999850007476,0.066244000299985,0.07126199940002997,0.05688099970001499,0.0032968880073167383,0.08820436999667436,0.0687579399999231,0.04377964599989355,0.037377830683911054,0.04794919695558688,0.07530641082216048,2.0147346553896033,1.5705458193995057
