k,n,true_jaccard,fast_avg_error,datasketch_avg_error,cmins_avg_error,fast_avg_time,datasketch_avg_time,cmins_avg_time,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,datasketch_speedup_vs_cmins
16,100,0.4925373134328358,0.0811940298507463,0.11470149253731343,0.20746268656716427,8.590200101025402e-05,0.0018405700026778505,3.1244002166204154e-05,0.04667141205456731,2.7493917249555193,58.90954663512181
16,1250,0.4997000599880024,0.09127399520095981,0.085,0.1113459808038392,0.0009002399980090559,0.01866084000095725,0.0003137539961608127,0.04824220120653069,2.8692542852829304,59.47602334726201
16,2500,0.4997000599880024,0.09389397120575886,0.08759598080383924,0.17478404319136184,0.0018141700030537321,0.03730627400160302,0.0005767699982970953,0.04862908590055868,3.1453959262965165,64.68137058402696
16,5000,0.4999250037498125,0.0862709989500525,0.0987589995500225,0.1837020023998799,0.0037107160000596196,0.0765624099993147,0.0012390320026315748,0.04846655166801612,2.9948508127138327,61.79211661741111
16,10000,0.4999250037498125,0.09500899955002248,0.08877699865006751,0.10248800059996997,0.0067159539961721745,0.14046998200006783,0.00211522200203035,0.0478105991084197,3.175058688745528,66.40909647556337
16,20000,0.49998125023437207,0.09875524993437584,0.10000449994375069,0.07625524993437584,0.014191809999174439,0.30892312999931165,0.004706218002829701,0.04593961610840231,3.0155445392970215,65.64148320659304
32,100,0.4925373134328358,0.06396455223880598,0.08886194029850741,0.29621268656716426,0.00018407399824354797,0.0023635079996893182,5.086799850687385e-05,0.07788169038046175,3.6186601330239845,46.46355408243426
32,1250,0.4997000599880024,0.06188699760047991,0.05627399520095981,0.09883398320335932,0.0009539640019647777,0.01952664599986747,0.00037499400204978885,0.04885447311183152,2.543944694449053,52.07188886523809
32,2500,0.4997000599880024,0.07194698560287943,0.06505998800239952,0.15098605278944227,0.0018107900040922687,0.03790808999503497,0.0006597919971682131,0.047767904010184575,2.7444861590684164,57.45460714548551
32,5000,0.4999250037498125,0.052502999850007476,0.07126199940002997,0.14680900329983493,0.003470882002147846,0.07210070999746676,0.001257314002723433,0.048139359546803276,2.760553047710965,57.34503062981197
32,10000,0.4999250037498125,0.0749970001499925,0.07002399880005998,0.056848001349932537,0.006902125999331475,0.14580362799868454,0.0023350420000497253,0.04733850655207116,2.95588944403762,62.44154409024746
32,20000,0.49998125023437207,0.06688174991562608,0.05875449994375069,0.06438099992500096,0.013508900000015273,0.28974942600005305,0.004868277992936782,0.046622698055018064,2.7748826216610625,59.51784725942942
64,100,0.4925373134328358,0.04284048507462686,0.052667910447761146,0.2974626865671643,0.00027750600303988904,0.0023238119995221494,4.068400070536882e-05,0.11941843965731876,6.821010673202261,57.11857140970627
64,1250,0.4997000599880024,0.04691099280143971,0.04873800239952009,0.09447098080383924,0.0009129240008769557,0.019420242005726323,0.00038252600003033874,0.04700888900394586,2.3865671896931193,50.76842359522247
64,2500,0.4997000599880024,0.0425,0.04878599280143971,0.15939955758848245,0.0017557139974087477,0.03786084999912418,0.0007476759975543246,0.04637280984049122,2.3482283812129214,50.63804391603903
64,5000,0.4999250037498125,0.04654150104994752,0.049375,0.14555600344982744,0.003789606002974324,0.07928352600079962,0.0016108419990632683,0.047798151698451245,2.352562203604105,49.218685660607505
64,10000,0.4999250037498125,0.04623500074996252,0.055029998500074964,0.04744900254987257,0.006844405999872833,0.14854522400244605,0.0027347719995304944,0.04607624409223772,2.5027336834836253,54.31722426145517
