k,n,true_jaccard,fast_avg_error,datasketch_avg_error,cmins_avg_error,rmins_avg_error,fast_avg_time,datasketch_avg_time,cmins_avg_time,rmins_avg_time,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,fast_speedup_vs_rmins
64,100,0.4925373134328358,0.03744402985074627,0.05266791044776118,0.2974626865671642,0.047999067164179114,1.6113310120999813e-05,0.0031010077008977533,2.3483112454414367e-05,2.1099983714520932e-05,192.45007249356777,1.4573735798586658,1.3094754309371972
64,400,0.49812734082397003,0.04934925093632959,0.04568703183520599,0.127686095505618,0.04220037453183521,2.0262948237359523e-05,0.007703180252574385,6.81967381387949e-05,6.563588045537472e-05,380.16088095076685,3.3655881335697306,3.2392068363654754
64,1600,0.49953139643861294,0.05720624414245548,0.04275626757263355,0.11670630271790065,0.04931876757263355,4.3723918497562406e-05,0.026905114017426967,0.00025836945977061984,0.00024752552155405283,615.3408692985034,5.909110359928602,5.661101064577556
64,6400,0.4998828216545582,0.04845156140145301,0.055009374267635344,0.13082969592219357,0.06310625146472931,0.00012520661577582358,0.10342563029844314,0.0009814620297402144,0.0009964029304683208,826.039659786203,7.838739380173608,7.958069342376703
64,25600,0.49997070369719343,0.05094101555633679,0.05187617185211226,0.03813085926056131,0.052494140739438686,0.0004959354596212506,0.40958791227079927,0.0047832120768725875,0.003943828004412353,825.8895473689347,9.644827737313964,7.952300905090114
128,100,0.4925373134328358,0.0225,0.03513992537313432,0.2968376865671642,0.03757229477611941,1.812247559428215e-05,0.0037882382748648524,3.2810945995152e-05,3.0794632621109486e-05,209.03536358245034,1.810511252971654,1.6992508810896425
128,400,0.49812734082397003,0.027080407303370788,0.03764337546816479,0.126279845505618,0.0313184691011236,2.3737596347928047e-05,0.009002635781653225,0.00010718700010329484,0.0001059641083702445,379.25641879233604,4.515495104568611,4.46397802107262
128,1600,0.49953139643861294,0.03943123242736645,0.03364998242736645,0.11377504100281163,0.03693752928772259,4.479035269469023e-05,0.029632793082855644,0.0004063228005543351,0.00040543157607316973,661.5887417731482,9.071658875383303,9.051761186985082
128,6400,0.4998828216545582,0.03640625,0.038460935669088356,0.12457969592219356,0.03793125292945863,0.00013376899529248475,0.11233364487066864,0.0016050896374508739,0.0016203359654173256,839.7584554257293,11.998966082845724,12.112941133141316
128,25600,0.49997070369719343,0.03484609370422453,0.03733789073943869,0.03266445296478584,0.03390156259155095,0.0004884282173588872,0.4434633328067139,0.007131669628433883,0.006525480225682259,907.9396256110772,14.601264576804079,13.36016223830792
256,100,0.4925373134328358,0.018013059701492543,0.02873367537313432,0.2961345615671642,0.023309235074626865,2.6798015460371972e-05,0.005688265897333622,5.5992929264903066e-05,5.30674634501338e-05,212.2644456917059,2.089443128641506,1.9802758726148295
256,400,0.49812734082397003,0.020302844101123596,0.0289094686329588,0.127842345505618,0.0208561563670412,3.0798828229308126e-05,0.011758146467618644,0.00019859676714986563,0.00018735401332378387,381.7725265414353,6.448192303656579,6.08315394108072
256,1600,0.49953139643861294,0.02715931056701031,0.02411558399718838,0.1129531542877226,0.03047189843017807,5.404056515544653e-05,0.036150002675130966,0.0007251415261998773,0.000732968244701624,668.9419803650509,13.418466740938465,13.563297174876993
256,6400,0.4998828216545582,0.02015156286618233,0.027362498535270684,0.12090782092219357,0.026979691528005615,0.0001422944013029337,0.13278925182763487,0.0028690603282302616,0.0029060902167111634,933.2008189481531,20.16284760299357,20.42308193506731
256,25600,0.49997070369719343,0.025864062408449053,0.022884765739438685,0.023212499816898102,0.022264453147887737,0.0005236400756984949,0.5199230344826355,0.011976480586454272,0.011473347661085426,992.9015341102357,22.871588983097947,21.910751666172374
